name,rating
Bach_BWV1042-02_114_20100627-SMD_1.mp3,-0.795
Bach_BWV1042-02_114_20100627-SMD_2.mp3,-0.81
Bach_BWV1042-02_114_20100627-SMD_3.mp3,0.645
Beethoven_Op030No2-01_109_20061215-SMD_1.mp3,0.865
Beethoven_Op030No2-01_109_20061215-SMD_2.mp3,0.775
Beethoven_Op030No2-01_109_20061215-SMD_3.mp3,-0.1
Beethoven_Op030No2-01_109_20061215-SMD_4.mp3,-0.43
Brahms_Op100-01_105_20090428-SMD_1.mp3,0.155
Brahms_Op100-01_105_20090428-SMD_10.mp3,-0.785
Brahms_Op100-01_105_20090428-SMD_11.mp3,-0.075
Brahms_Op100-01_105_20090428-SMD_12.mp3,-0.705
Brahms_Op100-01_105_20090428-SMD_2.mp3,0.2
Brahms_Op100-01_105_20090428-SMD_3.mp3,0.3
Brahms_Op100-01_105_20090428-SMD_4.mp3,-0.125
Brahms_Op100-01_105_20090428-SMD_5.mp3,0.395
Brahms_Op100-01_105_20090428-SMD_6.mp3,0
Brahms_Op100-01_105_20090428-SMD_7.mp3,-0.07
Brahms_Op100-01_105_20090428-SMD_8.mp3,0.695
Brahms_Op100-01_105_20090428-SMD_9.mp3,0.385
Brahms_Op120No2-01_122_20091211-SMD_1.mp3,0.78
Brahms_Op120No2-01_122_20091211-SMD_2.mp3,-0.17
Brahms_Op120No2-01_122_20091211-SMD_3.mp3,-0.875
Brahms_Op120No2-01_122_20091211-SMD_4.mp3,0.59
Brahms_Op120No2-02_122_20091211-SMD_1.mp3,0.735
Brahms_Op120No2-02_122_20091211-SMD_2.mp3,-0.355
Brahms_Op120No2-02_122_20091211-SMD_3.mp3,-0.325
Brahms_Op120No2-03_122_20091211-SMD_1.mp3,-0.035
Brahms_Op120No2-03_122_20091211-SMD_2.mp3,-0.94
Brahms_Op120No2-03_122_20091211-SMD_3.mp3,0.04
Brahms_Op120No2-03_122_20091211-SMD_4.mp3,0.085
Brahms_Op120No2-03_122_20091211-SMD_5.mp3,0.415
Chopin_Op023_103_20040204-SMD_1.mp3,-0.465
Chopin_Op023_103_20040204-SMD_10.mp3,0.195
Chopin_Op023_103_20040204-SMD_11.mp3,0.355
Chopin_Op023_103_20040204-SMD_12.mp3,0.405
Chopin_Op023_103_20040204-SMD_13.mp3,0.445
Chopin_Op023_103_20040204-SMD_14.mp3,-0.75
Chopin_Op023_103_20040204-SMD_15.mp3,0.225
Chopin_Op023_103_20040204-SMD_2.mp3,-0.92
Chopin_Op023_103_20040204-SMD_3.mp3,0.67
Chopin_Op023_103_20040204-SMD_4.mp3,0.35
Chopin_Op023_103_20040204-SMD_5.mp3,-0.025
Chopin_Op023_103_20040204-SMD_6.mp3,-0.955
Chopin_Op023_103_20040204-SMD_7.mp3,0.64
Chopin_Op023_103_20040204-SMD_8.mp3,0.935
Chopin_Op023_103_20040204-SMD_9.mp3,-0.925
Chopin_Op029_104_20070206-SMD_1.mp3,0.945
Chopin_Op029_104_20070206-SMD_2.mp3,-0.495
Chopin_Op029_104_20070206-SMD_3.mp3,0.295
Chopin_Op029_104_20070206-SMD_4.mp3,0.39
Chopin_Op029_104_20070206-SMD_5.mp3,-0.135
Chopin_Op029_104_20070206-SMD_6.mp3,0.34
Chopin_Op029_104_20070206-SMD_7.mp3,-0.51
Chopin_Op031_103_20040204-SMD_1.mp3,0.88
Chopin_Op031_103_20040204-SMD_10.mp3,0.675
Chopin_Op031_103_20040204-SMD_2.mp3,0.22
Chopin_Op031_103_20040204-SMD_3.mp3,0.33
Chopin_Op031_103_20040204-SMD_4.mp3,0.38
Chopin_Op031_103_20040204-SMD_5.mp3,0.685
Chopin_Op031_103_20040204-SMD_6.mp3,0.705
Chopin_Op031_103_20040204-SMD_7.mp3,0.71
Chopin_Op031_103_20040204-SMD_8.mp3,-0.46
Chopin_Op031_103_20040204-SMD_9.mp3,0.455
Chopin_Op036_104_20070206-SMD_1.mp3,0.62
Chopin_Op036_104_20070206-SMD_2.mp3,0.585
Chopin_Op036_104_20070206-SMD_3.mp3,0.13
Chopin_Op036_104_20070206-SMD_4.mp3,-0.065
Chopin_Op036_104_20070206-SMD_5.mp3,0.275
Chopin_Op036_104_20070206-SMD_6.mp3,0.745
Chopin_Op036_104_20070206-SMD_7.mp3,0.755
Chopin_Op036_104_20070206-SMD_8.mp3,0.105
Debussy_L066-01_125_20100609-SMD_1.mp3,0.035
Debussy_L066-01_125_20100609-SMD_2.mp3,-0.19
Debussy_L066-01_125_20100609-SMD_3.mp3,0.115
Debussy_L113-03_114_20100518-SMD_1.mp3,-0.8
Debussy_L113-03_114_20100518-SMD_2.mp3,-0.425
Debussy_L113-03_114_20100518-SMD_3.mp3,-0.82
Debussy_L113-03_114_20100518-SMD_4.mp3,-0.695
Debussy_L113-03_114_20100518-SMD_5.mp3,-0.72
Debussy_L117-06_114_20100518-SMD_1.mp3,-0.38
Debussy_L117-06_114_20100518-SMD_2.mp3,-0.86
Debussy_L117-06_114_20100518-SMD_3.mp3,-0.935
Debussy_L117-08_114_20100518-SMD_1.mp3,0.14
Debussy_L117-08_114_20100518-SMD_2.mp3,-0.49
Debussy_L117-08_114_20100518-SMD_3.mp3,0.48
Debussy_L117-08_114_20100518-SMD_4.mp3,0.725
Debussy_L134-02_120_20101031-SMD_1.mp3,-0.855
Debussy_L134-02_120_20101031-SMD_10.mp3,0.27
Debussy_L134-02_120_20101031-SMD_11.mp3,0.045
Debussy_L134-02_120_20101031-SMD_12.mp3,-0.5
Debussy_L134-02_120_20101031-SMD_2.mp3,0.31
Debussy_L134-02_120_20101031-SMD_3.mp3,-0.245
Debussy_L134-02_120_20101031-SMD_4.mp3,-0.725
Debussy_L134-02_120_20101031-SMD_5.mp3,-0.395
Debussy_L134-02_120_20101031-SMD_6.mp3,0.25
Debussy_L134-02_120_20101031-SMD_7.mp3,-0.275
Debussy_L134-02_120_20101031-SMD_8.mp3,0.21
