fileName,songName,segmentID,start_point,stop_point,selected_duration(s),recording_duration(s)
Bach_BWV1042-02_114_20100627-SMD_1.mp3,Bach_BWV1042-02_114_20100627-SMD,1,114.827,131.652,16.825,16.875102
Bach_BWV1042-02_114_20100627-SMD_2.mp3,Bach_BWV1042-02_114_20100627-SMD,2,132.031,146.494,14.463,14.524082
Bach_BWV1042-02_114_20100627-SMD_3.mp3,Bach_BWV1042-02_114_20100627-SMD,3,183.584,193.002,9.418,9.482449
Beethoven_Op030No2-01_109_20061215-SMD_1.mp3,Beethoven_Op030No2-01_109_20061215-SMD,1,17.21,29.372,12.162,12.225306
Beethoven_Op030No2-01_109_20061215-SMD_2.mp3,Beethoven_Op030No2-01_109_20061215-SMD,2,51.705,64.343,12.638,12.69551
Beethoven_Op030No2-01_109_20061215-SMD_3.mp3,Beethoven_Op030No2-01_109_20061215-SMD,3,143.566,153.837,10.271,10.318367
Beethoven_Op030No2-01_109_20061215-SMD_4.mp3,Beethoven_Op030No2-01_109_20061215-SMD,4,200.431,214.598,14.166,14.210612
Brahms_Op100-01_105_20090428-SMD_1.mp3,Brahms_Op100-01_105_20090428-SMD,1,1.14,16.565,15.425,15.46449
Brahms_Op100-01_105_20090428-SMD_2.mp3,Brahms_Op100-01_105_20090428-SMD,2,34.65,48.992,14.342,14.393469
Brahms_Op100-01_105_20090428-SMD_3.mp3,Brahms_Op100-01_105_20090428-SMD,3,48.973,61.967,12.994,13.035102
Brahms_Op100-01_105_20090428-SMD_4.mp3,Brahms_Op100-01_105_20090428-SMD,4,80.279,94.926,14.646,14.706939
Brahms_Op100-01_105_20090428-SMD_5.mp3,Brahms_Op100-01_105_20090428-SMD,5,124.807,141.714,16.907,16.953469
Brahms_Op100-01_105_20090428-SMD_6.mp3,Brahms_Op100-01_105_20090428-SMD,6,206.131,218.555,12.424,12.486531
Brahms_Op100-01_105_20090428-SMD_7.mp3,Brahms_Op100-01_105_20090428-SMD,7,236.545,253.319,16.774,16.822857
Brahms_Op100-01_105_20090428-SMD_8.mp3,Brahms_Op100-01_105_20090428-SMD,8,266.521,281.376,14.855,14.915918
Brahms_Op100-01_105_20090428-SMD_9.mp3,Brahms_Op100-01_105_20090428-SMD,9,315.988,325.486,9.498,9.560816
Brahms_Op100-01_105_20090428-SMD_10.mp3,Brahms_Op100-01_105_20090428-SMD,10,402.27,417.03,14.76,14.811429
Brahms_Op100-01_105_20090428-SMD_11.mp3,Brahms_Op100-01_105_20090428-SMD,11,417.069,431.259,14.19,14.236735
Brahms_Op100-01_105_20090428-SMD_12.mp3,Brahms_Op100-01_105_20090428-SMD,12,476.984,488.191,11.208,11.258776
Brahms_Op120No2-01_122_20091211-SMD_1.mp3,Brahms_Op120No2-01_122_20091211-SMD,1,103.964,118.929,14.965,15.020408
Brahms_Op120No2-01_122_20091211-SMD_2.mp3,Brahms_Op120No2-01_122_20091211-SMD,2,124.469,134.98,10.51,10.553469
Brahms_Op120No2-01_122_20091211-SMD_3.mp3,Brahms_Op120No2-01_122_20091211-SMD,3,315.204,325.788,10.584,10.631837
Brahms_Op120No2-01_122_20091211-SMD_4.mp3,Brahms_Op120No2-01_122_20091211-SMD,4,361.922,372.303,10.382,10.422857
Brahms_Op120No2-02_122_20091211-SMD_1.mp3,Brahms_Op120No2-02_122_20091211-SMD,1,0.972,10.322,9.35,9.404082
Brahms_Op120No2-02_122_20091211-SMD_2.mp3,Brahms_Op120No2-02_122_20091211-SMD,2,10.334,19.163,8.829,8.881633
Brahms_Op120No2-02_122_20091211-SMD_3.mp3,Brahms_Op120No2-02_122_20091211-SMD,3,153.05,166.427,13.377,13.426939
Brahms_Op120No2-03_122_20091211-SMD_1.mp3,Brahms_Op120No2-03_122_20091211-SMD,1,1.181,14.365,13.184,13.244082
Brahms_Op120No2-03_122_20091211-SMD_2.mp3,Brahms_Op120No2-03_122_20091211-SMD,2,67.947,82.823,14.876,14.915918
Brahms_Op120No2-03_122_20091211-SMD_3.mp3,Brahms_Op120No2-03_122_20091211-SMD,3,124.306,140.235,15.929,15.986939
Brahms_Op120No2-03_122_20091211-SMD_4.mp3,Brahms_Op120No2-03_122_20091211-SMD,4,181.67,196.769,15.099,15.15102
Brahms_Op120No2-03_122_20091211-SMD_5.mp3,Brahms_Op120No2-03_122_20091211-SMD,5,301.57,311.051,9.481,9.534694
Chopin_Op023_103_20040204-SMD_1.mp3,Chopin_Op023_103_20040204-SMD,1,21.462,36.884,15.421,15.46449
Chopin_Op023_103_20040204-SMD_2.mp3,Chopin_Op023_103_20040204-SMD,2,73.608,86.486,12.877,12.930612
Chopin_Op023_103_20040204-SMD_3.mp3,Chopin_Op023_103_20040204-SMD,3,123.25,138.254,15.004,15.046531
Chopin_Op023_103_20040204-SMD_4.mp3,Chopin_Op023_103_20040204-SMD,4,201.071,213.234,12.162,12.225306
Chopin_Op023_103_20040204-SMD_5.mp3,Chopin_Op023_103_20040204-SMD,5,225.634,238.988,13.354,13.400816
Chopin_Op023_103_20040204-SMD_6.mp3,Chopin_Op023_103_20040204-SMD,6,258.821,266.452,7.631,7.68
Chopin_Op023_103_20040204-SMD_7.mp3,Chopin_Op023_103_20040204-SMD,7,267.685,280.522,12.838,12.878367
Chopin_Op023_103_20040204-SMD_8.mp3,Chopin_Op023_103_20040204-SMD,8,289.346,299.362,10.016,10.057143
Chopin_Op023_103_20040204-SMD_9.mp3,Chopin_Op023_103_20040204-SMD,9,299.521,311.921,12.401,12.460408
Chopin_Op023_103_20040204-SMD_10.mp3,Chopin_Op023_103_20040204-SMD,10,312.676,322.175,9.499,9.560816
Chopin_Op023_103_20040204-SMD_11.mp3,Chopin_Op023_103_20040204-SMD,11,326.766,335.907,9.141,9.195102
Chopin_Op023_103_20040204-SMD_12.mp3,Chopin_Op023_103_20040204-SMD,12,336.364,346.142,9.777,9.822041
Chopin_Op023_103_20040204-SMD_13.mp3,Chopin_Op023_103_20040204-SMD,13,351.17,365.339,14.169,14.210612
Chopin_Op023_103_20040204-SMD_14.mp3,Chopin_Op023_103_20040204-SMD,14,407.35,424.162,16.812,16.875102
Chopin_Op023_103_20040204-SMD_15.mp3,Chopin_Op023_103_20040204-SMD,15,457.151,472.491,15.34,15.386122
Chopin_Op029_104_20070206-SMD_1.mp3,Chopin_Op029_104_20070206-SMD,1,0.345,17.421,17.076,17.136327
Chopin_Op029_104_20070206-SMD_2.mp3,Chopin_Op029_104_20070206-SMD,2,17.486,25.894,8.409,8.463673
Chopin_Op029_104_20070206-SMD_3.mp3,Chopin_Op029_104_20070206-SMD,3,26.088,37.925,11.837,11.885714
Chopin_Op029_104_20070206-SMD_4.mp3,Chopin_Op029_104_20070206-SMD,4,71.398,90.144,18.747,18.808163
Chopin_Op029_104_20070206-SMD_5.mp3,Chopin_Op029_104_20070206-SMD,5,109.829,118.777,8.948,9.012245
Chopin_Op029_104_20070206-SMD_6.mp3,Chopin_Op029_104_20070206-SMD,6,118.798,126.883,8.085,8.150204
Chopin_Op029_104_20070206-SMD_7.mp3,Chopin_Op029_104_20070206-SMD,7,254.392,265.582,11.19,11.232653
Chopin_Op031_103_20040204-SMD_1.mp3,Chopin_Op031_103_20040204-SMD,1,72.454,81.044,8.589,8.646531
Chopin_Op031_103_20040204-SMD_2.mp3,Chopin_Op031_103_20040204-SMD,2,107.739,116.417,8.678,8.724898
Chopin_Op031_103_20040204-SMD_3.mp3,Chopin_Op031_103_20040204-SMD,3,162.305,176.554,14.249,14.28898
Chopin_Op031_103_20040204-SMD_4.mp3,Chopin_Op031_103_20040204-SMD,4,209.878,222.376,12.498,12.538776
Chopin_Op031_103_20040204-SMD_5.mp3,Chopin_Op031_103_20040204-SMD,5,232.028,249.226,17.198,17.240816
Chopin_Op031_103_20040204-SMD_6.mp3,Chopin_Op031_103_20040204-SMD,6,332.034,349.23,17.197,17.240816
Chopin_Op031_103_20040204-SMD_7.mp3,Chopin_Op031_103_20040204-SMD,7,349.31,363.888,14.577,14.628571
Chopin_Op031_103_20040204-SMD_8.mp3,Chopin_Op031_103_20040204-SMD,8,384.343,398.881,14.537,14.576327
Chopin_Op031_103_20040204-SMD_8.mp3,Chopin_Op031_103_20040204-SMD,9,497.226,513.058,15.833,14.576327
Chopin_Op031_103_20040204-SMD_9.mp3,Chopin_Op031_103_20040204-SMD,10,513.078,524.696,11.617,15.882449
Chopin_Op036_104_20070206-SMD_1.mp3,Chopin_Op036_104_20070206-SMD,1,15.879,31.627,15.748,15.804082
Chopin_Op036_104_20070206-SMD_2.mp3,Chopin_Op036_104_20070206-SMD,2,89.785,102.828,13.043,13.087347
