name,ranking
Bach_BWV1042-02_114_20100627-SMD_1.mp3,360
Bach_BWV1042-02_114_20100627-SMD_2.mp3,363
Bach_BWV1042-02_114_20100627-SMD_3.mp3,72
Beethoven_Op030No2-01_109_20061215-SMD_1.mp3,28
Beethoven_Op030No2-01_109_20061215-SMD_2.mp3,46
Beethoven_Op030No2-01_109_20061215-SMD_3.mp3,221
Beethoven_Op030No2-01_109_20061215-SMD_4.mp3,287
Brahms_Op100-01_105_20090428-SMD_1.mp3,170
Brahms_Op100-01_105_20090428-SMD_10.mp3,358
Brahms_Op100-01_105_20090428-SMD_11.mp3,216
Brahms_Op100-01_105_20090428-SMD_12.mp3,342
Brahms_Op100-01_105_20090428-SMD_2.mp3,161
Brahms_Op100-01_105_20090428-SMD_3.mp3,141
Brahms_Op100-01_105_20090428-SMD_4.mp3,226
Brahms_Op100-01_105_20090428-SMD_5.mp3,122
Brahms_Op100-01_105_20090428-SMD_6.mp3,201
Brahms_Op100-01_105_20090428-SMD_7.mp3,215
Brahms_Op100-01_105_20090428-SMD_8.mp3,62
Brahms_Op100-01_105_20090428-SMD_9.mp3,124
Brahms_Op120No2-01_122_20091211-SMD_1.mp3,45
Brahms_Op120No2-01_122_20091211-SMD_2.mp3,235
Brahms_Op120No2-01_122_20091211-SMD_3.mp3,376
Brahms_Op120No2-01_122_20091211-SMD_4.mp3,83
Brahms_Op120No2-02_122_20091211-SMD_1.mp3,54
Brahms_Op120No2-02_122_20091211-SMD_2.mp3,272
Brahms_Op120No2-02_122_20091211-SMD_3.mp3,266
Brahms_Op120No2-03_122_20091211-SMD_1.mp3,208
Brahms_Op120No2-03_122_20091211-SMD_2.mp3,389
Brahms_Op120No2-03_122_20091211-SMD_3.mp3,193
Brahms_Op120No2-03_122_20091211-SMD_4.mp3,184
Brahms_Op120No2-03_122_20091211-SMD_5.mp3,118
Chopin_Op023_103_20040204-SMD_1.mp3,294
Chopin_Op023_103_20040204-SMD_10.mp3,162
Chopin_Op023_103_20040204-SMD_11.mp3,130
Chopin_Op023_103_20040204-SMD_12.mp3,120
Chopin_Op023_103_20040204-SMD_13.mp3,112
Chopin_Op023_103_20040204-SMD_14.mp3,351
Chopin_Op023_103_20040204-SMD_15.mp3,156
Chopin_Op023_103_20040204-SMD_2.mp3,385
Chopin_Op023_103_20040204-SMD_3.mp3,67
Chopin_Op023_103_20040204-SMD_4.mp3,131
Chopin_Op023_103_20040204-SMD_5.mp3,206
Chopin_Op023_103_20040204-SMD_6.mp3,392
Chopin_Op023_103_20040204-SMD_7.mp3,73
Chopin_Op023_103_20040204-SMD_8.mp3,14
Chopin_Op023_103_20040204-SMD_9.mp3,386
Chopin_Op029_104_20070206-SMD_1.mp3,12
Chopin_Op029_104_20070206-SMD_2.mp3,300
Chopin_Op029_104_20070206-SMD_3.mp3,142
